Title,Description,Price,Rating,Review
"Apple iPhone 16 Plus (Teal, 128 GB)","128 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹79,999",4.6,102 Reviews
"Apple iPhone 15 Plus (Black, 128 GB)","128 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A16 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹74,900",4.6,"2,473 Reviews"
"Apple iPhone 15 (Blue, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A16 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹64,400",4.6,"9,192 Reviews"
"Apple iPhone 16 Plus (Teal, 256 GB)","256 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹89,999",4.6,102 Reviews
"Apple iPhone 16 (Ultramarine, 256 GB)","256 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹79,999",4.6,478 Reviews
"Apple iPhone 16 (White, 256 GB)","256 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹79,999",4.6,478 Reviews
"Apple iPhone 16 (Teal, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹69,999",4.6,478 Reviews
"Apple iPhone 15 (Green, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A16 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹64,400",4.6,"9,192 Reviews"
"Apple iPhone 15 (Green, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A16 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹64,400",4.6,"9,192 Reviews"
"Apple iPhone 16e (Black, 256 GB)","256 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP Rear Camera | 12MP Front Camera, A18 Chip, 6 Core Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹69,900",4.6,30 Reviews
"Apple iPhone 14 (Blue, 256 GB)","256 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A15 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹64,999",4.6,"11,676 Reviews"
"Apple iPhone 16 Plus (Ultramarine, 128 GB)","128 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹79,999",4.6,102 Reviews
"Apple iPhone 16 (Black, 256 GB)","256 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹79,999",4.6,478 Reviews
"Apple iPhone 16 (Pink, 256 GB)","256 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹79,999",4.6,478 Reviews
"Apple iPhone 16 Plus (Ultramarine, 256 GB)","256 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹89,999",4.6,102 Reviews
"Apple iPhone 15 Plus (Blue, 128 GB)","128 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A16 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹74,900",4.6,"2,473 Reviews"
"Apple iPhone 16 Pro (White Titanium, 128 GB)","128 GB ROM, 16.0 cm (6.3 inch) Super Retina XDR Display, 48MP + 48MP + 12MP | 12MP Front Camera, A18 Pro Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,12,900",4.7,83 Reviews
"Apple iPhone 16 Pro (Natural Titanium, 128 GB)","128 GB ROM, 16.0 cm (6.3 inch) Super Retina XDR Display, 48MP + 48MP + 12MP | 12MP Front Camera, A18 Pro Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,12,900",4.7,83 Reviews
"Apple iPhone 16 Plus (White, 256 GB)","256 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹89,999",4.6,102 Reviews
"Apple iPhone 16 Plus (Black, 128 GB)","128 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹79,999",4.6,102 Reviews
"Apple iPhone 16 Pro Max (Desert Titanium, 256 GB)","256 GB ROM, 17.53 cm (6.9 inch) Super Retina XDR Display, 48MP + 48MP + 12MP | 12MP Front Camera, A18 Pro Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,35,900",4.6,50 Reviews
"Apple iPhone 15 (Black, 256 GB)","256 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A16 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹74,400",4.6,"9,192 Reviews"
"Apple iPhone 15 (Pink, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A16 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹64,400",4.6,"9,192 Reviews"
"Apple iPhone 16 Pro (Desert Titanium, 128 GB)","128 GB ROM, 16.0 cm (6.3 inch) Super Retina XDR Display, 48MP + 48MP + 12MP | 12MP Front Camera, A18 Pro Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,12,900",4.7,83 Reviews
"Apple iPhone 16 Plus (White, 128 GB)","128 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹79,999",4.6,102 Reviews
"Apple iPhone 14 Plus (Yellow, 512 GB)","512 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A15 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹99,900",4.6,"4,755 Reviews"
"Apple iPhone 15 (Green, 256 GB)","256 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A16 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹74,400",4.6,"9,192 Reviews"
"Apple iPhone 14 (Purple, 256 GB)","256 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A15 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹64,999",4.6,"11,676 Reviews"
"Apple iPhone 15 (Pink, 256 GB)","256 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A16 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹74,400",4.6,"9,192 Reviews"
"Apple iPhone 14 (Midnight, 256 GB)","256 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A15 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹64,999",4.6,"11,676 Reviews"
"Apple iPhone 15 Plus (Pink, 128 GB)","128 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A16 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹74,900",4.6,"2,473 Reviews"
"Apple iPhone 16e (White, 256 GB)","256 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP Rear Camera | 12MP Front Camera, A18 Chip, 6 Core Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹69,900",4.6,30 Reviews
"Apple iPhone 11 (Black, 64 GB)","64 GB ROM, 15.49 cm (6.1 inch) Liquid Retina HD Display, 12MP + 12MP | 12MP Front Camera, A13 Bionic Chip Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹43,900",4.6,"11,402 Reviews"
"Apple iPhone 16 Plus (White, 512 GB)","512 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,09,999",4.6,102 Reviews
"Apple iPhone 16 Pro (Black Titanium, 256 GB)","256 GB ROM, 16.0 cm (6.3 inch) Super Retina XDR Display, 48MP + 48MP + 12MP | 12MP Front Camera, A18 Pro Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,22,900",4.7,83 Reviews
"Apple iPhone 12 (Blue, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A14 Bionic Chip with Next Generation Neural Engine Processor, Ceramic Shield, Industry-leading IP68 Water Resistance, All Screen OLED Display, 12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹49,900",4.6,"13,933 Reviews"
"Apple iPhone 16 Pro (Desert Titanium, 256 GB)","256 GB ROM, 16.0 cm (6.3 inch) Super Retina XDR Display, 48MP + 48MP + 12MP | 12MP Front Camera, A18 Pro Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,22,900",4.7,83 Reviews
"Apple iPhone 12 (White, 64 GB)","64 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A14 Bionic Chip with Next Generation Neural Engine Processor, Ceramic Shield, Industry-leading IP68 Water Resistance, All Screen OLED Display, 12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹48,900",4.6,"13,933 Reviews"
